"z1";"z2";"z3";"z4";"z5";"z6";"ziehung"
9;26;25;31;11;6;104
49;1;14;41;29;30;105
35;36;24;2;27;42;106
22;4;18;9;23;2;107
49;26;46;45;3;11;108
24;45;46;16;30;20;109
20;24;49;34;8;22;110
23;25;3;26;1;14;111
46;36;9;27;26;11;112
45;26;3;32;47;43;113
27;11;22;7;39;18;114
33;22;28;23;4;7;115
46;14;34;45;47;36;116
36;15;21;44;10;6;117
19;36;9;37;23;22;118
30;32;12;34;14;3;119
7;4;23;41;6;27;120
34;46;4;48;38;39;121
30;45;40;43;25;37;122
36;37;8;45;15;21;123
19;2;26;3;17;12;124
24;9;11;27;48;21;125
11;20;49;5;10;36;126
18;6;2;8;17;35;127
39;20;27;5;22;43;128
30;38;46;28;22;34;129
44;36;29;49;24;23;130
16;10;29;13;28;47;131
27;25;5;3;22;49;132
1;21;38;30;25;9;133
31;10;48;32;38;15;134
2;7;32;36;25;38;135
49;26;18;34;41;21;136
37;29;3;8;38;6;137
25;33;24;43;30;31;138
34;8;32;46;48;9;139
46;13;33;30;32;24;140
17;24;26;32;30;37;141
9;8;36;27;10;15;142
28;33;6;31;46;39;143
19;18;17;36;21;49;144
4;29;44;3;49;30;145
42;48;41;47;17;35;146
46;48;24;10;14;18;147
14;9;22;36;26;34;148
1;39;20;17;29;10;149
18;28;35;45;42;37;150
45;19;21;14;31;32;151
47;13;21;37;45;44;152
33;35;40;1;5;9;153
20;32;14;13;7;1;154
46;39;27;9;35;22;155
4;38;8;2;30;44;156
33;16;25;19;6;20;157
46;4;6;49;48;45;158
33;30;6;34;21;36;159
47;8;13;7;29;49;160
46;11;18;44;8;12;161
22;21;45;11;47;25;162
22;18;19;49;4;25;163
11;44;46;49;19;18;164
28;13;1;17;27;4;165
11;48;31;9;26;13;166
6;45;15;17;40;9;167
44;41;12;14;49;19;168
41;46;2;13;34;27;169
46;45;44;28;7;18;170
2;43;4;6;41;40;171
28;41;47;44;27;5;172
25;26;33;1;41;6;173
13;25;33;6;11;15;174
11;25;6;33;29;8;175
18;49;29;44;47;5;176
33;18;46;21;37;2;177
11;16;10;1;36;39;178
14;29;37;40;48;21;179
49;26;19;34;5;43;180
49;16;35;10;7;23;181
23;19;35;18;2;39;182
2;42;39;48;33;28;183
16;28;20;4;46;22;184
21;40;1;14;8;15;185
30;31;35;46;7;5;186
44;43;42;14;22;19;187
49;7;27;41;46;1;188
28;19;41;4;1;5;189
8;25;22;49;44;17;190
10;42;44;23;21;11;191
30;19;41;28;32;17;192
42;10;24;28;23;35;193
34;42;3;4;43;21;194
2;36;49;44;18;9;195
35;25;31;23;46;29;196
9;46;2;26;40;13;197
31;30;14;48;34;38;198
24;6;48;45;37;14;199
26;9;35;36;33;11;200
31;16;13;28;15;9;201
2;13;19;42;41;31;202
36;33;14;16;35;11;203
8;3;29;9;18;26;204
15;16;44;1;9;23;205
48;45;26;46;11;31;206
1;9;30;24;22;32;207
15;21;19;16;29;17;208
39;34;6;5;17;31;209
19;11;45;40;2;38;210
39;26;19;18;6;29;211
12;18;33;29;25;37;212
20;31;38;19;36;45;213
29;23;35;3;7;37;214
15;23;43;38;47;4;215
4;34;3;5;14;49;216
2;20;1;37;21;29;217
5;43;14;32;45;20;218
40;20;42;25;27;22;219
31;47;48;25;8;17;220
9;42;48;40;43;39;221
33;41;28;22;27;36;222
14;24;49;33;15;7;223
45;42;22;43;37;48;224
30;41;49;29;4;40;225
48;13;20;41;33;8;226
10;12;28;45;26;22;227
12;45;1;26;25;14;228
12;13;4;3;24;20;229
34;44;25;48;6;2;230
28;19;46;41;32;43;231
26;48;47;33;43;45;232
4;32;42;22;19;5;233
47;10;25;9;30;22;234
7;47;43;39;15;3;235
17;36;48;39;44;3;236
17;42;40;4;25;33;237
45;35;12;14;22;39;238
28;9;3;33;41;32;239
41;36;14;22;46;7;240
28;6;36;8;14;32;241
26;32;28;39;29;2;242
32;44;31;24;40;48;243
10;24;34;27;15;31;244
24;41;14;19;31;40;245
8;39;27;10;49;13;246
23;4;49;34;21;17;247
16;43;23;35;21;15;248
22;29;30;49;12;20;249
22;29;13;44;4;23;250
32;18;38;5;25;33;251
43;34;27;13;48;35;252
14;4;38;25;30;7;253
11;43;6;19;10;12;254
31;39;37;28;12;24;255
45;48;46;11;22;27;256
46;41;23;25;32;42;257
19;22;3;29;25;45;258
17;48;33;18;7;8;259
4;16;12;31;19;3;260
38;24;20;12;30;45;261
25;22;29;5;14;38;262
5;48;29;31;6;18;263
8;47;35;24;41;49;264
19;9;10;3;18;24;265
30;15;47;41;20;4;266
36;13;33;19;14;42;267
27;14;1;47;20;46;268
22;18;5;13;4;3;269
34;12;23;24;32;26;270
46;5;47;45;1;8;271
42;40;8;36;47;20;272
15;8;27;49;11;42;273
20;10;30;13;39;38;274
10;35;14;16;37;23;275
15;47;6;4;49;38;276
18;45;10;6;47;37;277
15;16;18;25;37;43;278
41;38;5;32;16;42;279
5;15;13;49;44;36;280
26;13;6;36;35;18;281
1;25;9;28;2;8;282
24;28;21;13;26;8;283
48;41;34;32;2;40;284
6;7;40;9;15;12;285
32;38;9;40;6;33;286
20;3;31;17;26;21;287
4;23;28;27;38;29;288
30;38;17;16;15;40;289
1;19;23;40;46;8;290
27;39;18;22;3;34;291
7;5;22;43;18;21;292
7;21;9;45;35;31;293
45;24;14;48;43;41;294
15;1;41;36;2;11;295
47;39;5;25;29;2;296
47;5;34;9;22;21;297
23;29;36;40;28;14;298
37;42;1;25;29;17;299
1;11;26;33;25;18;300
2;48;42;1;32;19;301
5;28;3;43;42;15;302
12;49;35;2;41;47;303
28;15;12;32;25;43;304
9;31;12;23;28;38;305
25;48;33;34;31;9;306
18;17;44;15;11;33;307
20;32;15;35;10;2;308
13;15;29;16;5;11;309
20;1;10;49;27;37;310
7;13;10;16;5;18;311
33;4;29;14;23;36;312
1;33;48;4;35;31;313
44;17;7;14;19;12;314
31;25;48;45;40;47;315
22;35;4;40;16;33;316
9;33;5;6;44;41;317
33;11;18;49;12;27;318
44;8;13;14;30;32;319
40;20;39;2;37;1;320
27;17;7;16;25;8;321
23;5;29;10;47;39;322
5;32;21;49;13;25;323
36;4;31;22;42;32;324
9;2;1;27;24;26;325
1;33;35;20;11;37;326
12;22;9;19;26;27;327
33;45;37;5;47;3;328
37;20;41;5;49;48;329
17;44;33;7;25;26;330
29;23;40;18;27;9;331
39;31;33;28;42;14;332
32;11;36;38;9;29;333
2;45;48;17;25;19;334
21;33;43;4;19;45;335
16;22;1;21;12;14;336
27;44;24;38;25;45;337
35;28;32;10;26;12;338
10;32;27;25;9;4;339
44;39;37;46;24;4;340
42;39;36;7;29;35;341
48;45;21;27;34;49;342
17;28;13;44;47;12;343
40;34;3;4;10;47;344
27;32;1;19;26;48;345
27;2;3;35;25;11;346
33;15;31;19;25;22;347
36;23;38;13;29;19;348
23;13;34;25;2;27;349
18;10;30;6;48;15;350
17;10;32;33;14;36;351
15;16;10;46;24;13;352
9;13;28;47;35;46;353
40;2;11;38;12;6;354
4;44;26;1;48;14;355
47;35;6;39;45;33;356
19;48;43;3;17;8;357
44;11;10;41;23;30;358
48;26;32;6;35;18;359
7;23;44;8;12;39;360
47;14;28;8;9;37;361
15;5;21;39;36;22;362
40;14;34;22;38;48;363
7;13;16;6;36;48;364
32;2;30;38;25;49;365
15;7;9;25;6;20;366
1;11;41;27;2;46;367
24;16;47;49;10;25;368
18;31;19;26;41;14;369
6;9;46;22;41;10;370
4;1;35;19;11;43;371
28;48;44;18;49;22;372
29;15;17;42;32;16;373
47;46;3;21;37;42;374
6;7;15;42;33;47;375
27;32;48;20;37;43;376
24;37;1;21;23;15;377
4;16;6;20;23;30;378
14;25;26;38;1;41;379
13;4;46;19;43;33;380
48;11;46;14;37;30;381
16;31;27;36;18;15;382
11;26;13;25;30;10;383
43;35;42;44;46;9;384
13;41;17;45;15;11;385
39;11;9;22;26;35;386
41;27;19;26;47;8;387
11;39;21;12;41;44;388
10;25;48;49;45;18;389
27;29;25;10;18;1;390
23;38;6;1;44;2;391
45;32;25;40;18;5;392
2;20;31;37;27;49;393
28;46;36;34;43;48;394
11;7;17;36;26;19;395
20;27;35;30;6;3;396
5;21;4;10;34;11;397
31;28;46;34;42;37;398
44;12;38;6;20;49;399
27;11;15;31;39;30;400
35;23;38;5;19;22;401
43;7;47;24;35;36;402
40;46;19;3;17;29;403
6;48;22;12;31;49;404
30;23;38;1;37;24;405
24;7;19;32;31;12;406
8;4;44;30;28;40;407
38;48;30;23;31;17;408
19;2;20;37;8;23;409
45;37;6;36;11;9;410
4;24;26;8;22;38;411
26;7;30;40;38;34;412
26;23;30;34;44;48;413
28;19;14;44;21;46;414
14;17;29;45;23;11;415
2;3;29;46;11;37;416
39;28;40;7;1;11;417
32;19;34;18;43;35;418
3;32;12;30;4;26;419
3;21;10;26;43;11;420
34;23;17;5;33;38;421
4;14;38;18;25;31;422
28;13;40;24;31;32;423
10;30;17;36;40;7;424
15;27;32;14;45;37;425
20;33;22;7;37;24;426
9;31;1;36;7;19;427
2;29;16;37;12;21;428
5;6;36;16;9;29;429
34;42;38;16;40;43;430
8;42;38;21;1;28;431
28;32;48;6;47;34;432
30;7;36;14;17;43;433
26;11;46;2;3;21;434
29;10;25;18;7;32;435
28;22;47;21;7;39;436
21;16;47;32;26;2;437
23;37;44;3;35;15;438
26;32;1;16;41;35;439
10;31;43;16;25;17;440
2;13;10;39;24;9;441
36;25;41;22;18;47;442
1;30;42;23;24;28;443
25;32;48;15;13;42;444
37;21;10;39;41;23;445
38;46;28;19;40;39;446
49;4;43;5;9;47;447
32;48;34;19;11;12;448
5;35;42;33;48;9;449
6;34;31;43;11;13;450
49;38;21;22;45;1;451
45;32;5;9;37;4;452
22;39;1;29;23;49;453
27;14;33;37;39;48;454
37;22;10;5;11;27;455
12;23;13;49;10;22;456
47;1;49;36;35;18;457
3;38;24;37;46;12;458
31;34;41;44;37;48;459
16;36;45;40;34;47;460
41;16;38;36;34;9;461
46;23;36;6;14;45;462
45;20;32;12;16;37;463
36;4;35;40;17;31;464
36;41;38;43;45;34;465
27;20;4;6;24;1;466
18;32;39;42;43;21;467
42;26;41;9;29;22;468
35;25;46;47;20;8;469
2;46;42;34;23;38;470
1;34;17;44;33;6;471
14;19;29;18;39;16;472
22;30;40;1;36;14;473
41;18;32;21;2;26;474
24;23;38;9;33;3;475
22;33;39;46;9;5;476
17;32;31;5;40;11;477
33;2;45;8;23;4;478
36;17;10;30;28;49;479
30;39;29;46;15;20;480
16;15;47;37;21;35;481
23;33;43;7;13;25;482
35;8;15;4;10;12;483
27;9;18;47;17;7;484
46;38;18;13;31;24;485
29;34;32;42;26;10;486
29;23;49;13;8;5;487
33;42;3;13;47;37;488
46;36;28;49;6;9;489
35;8;18;30;27;15;490
18;38;42;33;14;27;491
3;49;4;19;43;34;492
39;45;9;33;43;29;493
13;37;36;9;34;16;494
46;34;15;28;6;27;495
26;4;16;23;2;30;496
2;1;48;3;5;47;497
22;42;14;30;1;27;498
34;45;49;23;10;31;499
37;36;31;29;49;4;500
47;41;12;37;21;11;501
45;23;2;39;31;27;502
31;11;4;24;9;29;503
38;33;1;15;29;5;504
47;23;12;6;27;15;505
21;20;32;3;29;16;506
3;47;49;24;38;37;507
8;12;19;17;21;25;508
47;33;17;9;10;46;509
46;38;7;9;25;15;510
19;32;20;40;27;4;511
13;31;44;8;41;17;512
32;22;44;19;31;48;513
32;48;3;5;12;25;514
21;6;43;3;12;4;515
38;44;39;2;16;17;516
35;36;21;13;45;46;517
37;25;19;31;13;21;518
42;8;43;31;37;38;519
4;15;8;44;48;17;520
11;34;33;38;17;2;521
24;12;22;32;15;34;522
36;22;35;31;6;9;523
32;44;2;15;24;39;524
26;9;6;18;48;46;525
2;5;23;47;40;18;526
43;44;14;46;35;6;527
17;36;6;48;20;45;528
42;21;44;24;8;27;529
1;14;12;13;48;33;530
32;42;41;10;15;48;531
11;48;23;20;33;29;532
5;48;25;35;21;36;533
47;30;6;24;20;39;534
5;46;37;20;9;10;535
28;8;40;19;39;36;536
49;38;25;30;5;36;537
47;8;5;39;29;32;538
39;8;2;19;1;26;539
42;46;34;33;19;41;540
44;7;47;39;18;3;541
34;29;9;24;30;45;542
10;24;7;44;29;16;543
46;28;30;44;34;29;544
38;8;19;14;41;43;545
40;5;30;22;27;44;546
21;29;2;39;37;6;547
41;15;28;26;39;25;548
15;30;28;26;6;20;549
26;40;36;19;42;41;550
34;39;8;43;35;21;551
8;19;31;39;1;4;552
9;22;20;49;36;5;553
45;35;49;17;30;5;554
37;40;45;9;31;36;555
31;8;23;45;4;48;556
6;19;3;22;12;2;557
4;20;45;5;33;27;558
17;18;21;24;33;34;559
19;38;46;28;33;36;560
36;42;37;15;28;21;561
39;11;22;41;49;43;562
5;10;26;33;47;12;563
37;32;41;12;10;4;564
38;40;7;1;23;49;565
34;27;3;40;24;23;566
38;45;30;10;47;5;567
40;18;25;12;48;5;568
33;12;43;42;6;21;569
34;16;28;27;49;21;570
14;38;48;28;21;24;571
1;44;14;26;16;35;572
16;23;10;45;21;14;573
34;13;28;33;31;35;574
4;44;35;40;28;20;575
42;13;6;17;44;1;576
35;29;42;37;39;44;577
46;25;42;11;18;43;578
27;13;16;1;49;33;579
45;8;27;29;22;18;580
43;33;42;17;9;30;581
12;5;41;17;10;11;582
29;5;45;34;8;49;583
21;40;38;18;39;41;584
32;15;21;10;16;19;585
2;43;20;33;40;41;586
4;32;31;18;21;12;587
47;6;5;2;22;7;588
4;10;44;17;36;31;589
39;6;35;7;21;18;590
11;7;34;42;26;8;591
22;47;45;29;25;3;592
12;7;44;3;33;49;593
42;27;3;22;32;16;594
47;27;23;45;19;49;595
9;19;36;39;5;42;596
21;22;4;44;23;7;597
48;7;20;42;29;27;598
48;21;31;24;14;34;599
2;18;26;45;43;1;600
48;34;44;12;22;11;601
6;12;49;29;18;16;602
19;23;7;33;42;38;603
18;44;30;41;8;2;604
49;30;26;29;21;39;605
43;5;34;20;29;18;606
39;35;32;46;2;49;607
42;2;20;37;18;3;608
30;45;49;17;21;44;609
23;40;48;43;37;7;610
16;18;31;8;43;3;611
45;1;20;13;30;34;612
49;12;19;30;9;33;613
7;49;22;24;1;32;614
4;9;10;30;43;19;615
40;32;41;3;2;30;616
14;26;21;2;45;41;617
8;9;3;38;34;13;618
23;2;13;5;19;22;619
40;38;13;21;22;48;620
22;25;12;43;44;38;621
36;7;35;16;15;32;622
21;3;36;20;15;9;623
36;26;43;3;19;45;624
35;2;49;20;37;36;625
14;1;42;19;32;29;626
45;22;36;24;28;44;627
22;26;1;20;23;15;628
9;2;48;25;13;47;629
39;40;6;11;21;9;630
41;38;29;11;42;22;631
19;2;46;9;38;28;632
3;10;24;31;48;9;633
46;13;33;6;41;17;634
20;2;43;33;12;32;635
27;8;6;21;36;30;636
29;11;18;12;38;39;637
11;26;44;30;41;14;638
14;15;34;11;49;19;639
43;29;14;30;18;39;640
16;2;24;47;14;30;641
19;27;28;8;5;40;642
25;39;36;10;4;8;643
23;11;44;34;6;48;644
6;37;25;38;39;42;645
17;30;38;7;12;24;646
23;1;21;7;30;10;647
44;21;2;40;22;31;648
43;29;13;11;26;22;649
18;15;11;28;5;41;650
7;17;46;40;49;23;651
35;39;47;16;48;32;652
42;16;15;2;46;29;653
47;31;13;38;32;2;654
11;45;26;43;46;12;655
15;32;9;7;33;10;656
21;14;39;8;15;27;657
1;18;39;41;26;32;658
9;43;31;29;21;37;659
21;47;40;48;43;34;660
24;16;19;12;39;25;661
20;36;12;33;41;46;662
11;31;39;43;20;18;663
41;46;47;28;43;25;664
24;8;21;49;46;48;665
19;17;41;31;8;11;666
46;26;45;24;27;43;667
32;29;2;9;11;35;668
6;47;22;26;28;16;669
32;3;28;40;49;14;670
42;46;14;31;1;40;671
9;12;45;25;28;26;672
39;10;3;42;32;17;673
35;33;40;36;8;6;674
34;47;21;17;38;45;675
26;29;28;11;14;5;676
22;42;37;21;16;49;677
13;24;35;19;20;3;678
27;44;28;30;39;47;679
12;39;40;29;10;17;680
40;10;8;30;43;21;681
25;9;4;8;16;22;682
45;35;18;10;14;40;683
41;19;28;2;23;17;684
27;12;30;41;8;1;685
39;44;28;36;48;31;686
36;41;4;10;33;32;687
48;39;30;40;4;5;688
8;35;2;38;3;34;689
2;37;26;17;18;16;690
3;16;36;38;12;39;691
20;2;39;40;15;33;692
37;15;35;14;40;36;693
38;40;9;49;10;5;694
35;9;11;10;2;24;695
24;22;42;33;5;38;696
15;21;38;19;14;33;697
20;45;26;27;40;37;698
21;43;29;33;6;45;699
42;36;48;41;9;21;700
1;28;4;30;41;15;701
9;49;45;11;41;32;702
41;29;27;17;15;30;703
35;46;32;16;27;25;704
15;43;40;47;31;16;705
43;9;19;8;24;34;706
2;49;34;40;45;23;707
25;48;18;26;1;46;708
34;21;48;49;25;14;709
3;10;48;46;27;13;710
12;13;32;48;4;11;711
29;17;26;47;43;40;712
45;22;49;12;30;3;713
24;2;48;18;36;15;714
20;8;47;31;40;25;715
3;17;46;11;20;41;716
22;21;40;43;45;9;717
26;20;10;22;1;40;718
32;34;46;44;14;11;719
26;13;21;48;49;44;720
7;49;33;14;24;43;721
22;8;5;49;25;31;722
14;17;33;38;1;47;723
33;40;36;23;10;6;724
4;15;3;28;49;25;725
40;12;11;36;33;39;726
22;40;12;26;41;27;727
5;38;9;18;24;25;728
39;46;43;48;33;10;729
29;11;15;3;21;37;730
2;7;20;6;39;4;731
8;27;17;14;36;45;732
4;12;19;36;14;7;733
32;10;19;28;7;38;734
10;18;21;46;3;15;735
4;12;18;42;38;21;736
49;37;36;29;38;39;737
32;1;6;23;29;38;738
34;41;9;22;45;38;739
10;31;45;44;39;7;740
15;49;48;13;8;6;741
29;35;12;49;9;3;742
24;2;42;17;43;40;743
13;21;40;43;22;25;744
45;44;35;21;17;15;745
48;5;45;2;24;16;746
38;36;35;44;11;6;747
41;44;38;3;24;19;748
46;12;33;6;19;23;749
31;3;29;14;49;6;750
16;46;7;38;32;48;751
14;38;36;25;24;23;752
6;7;28;3;10;25;753
38;22;44;28;21;5;754
34;18;2;11;46;14;755
38;5;17;29;39;28;756
32;49;6;24;8;29;757
36;12;4;17;35;7;758
12;5;11;25;15;48;759
12;48;44;14;24;18;760
5;39;43;3;36;14;761
39;32;3;5;6;38;762
42;14;10;48;46;26;763
33;19;44;46;39;24;764
47;31;46;18;2;30;765
1;19;27;2;49;9;766
21;15;23;49;44;38;767
19;13;10;29;30;4;768
49;14;1;21;45;11;769
30;35;44;48;41;9;770
25;22;20;49;32;44;771
22;37;40;16;24;2;772
41;5;36;18;14;21;773
27;18;3;17;49;16;774
9;48;17;7;12;16;775
1;32;17;49;43;44;776
17;26;20;11;49;13;777
7;48;30;24;45;10;778
15;24;5;46;29;40;779
46;4;34;41;27;29;780
46;20;17;15;4;47;781
47;49;20;3;22;35;782
20;37;17;40;8;36;783
39;34;7;44;2;43;784
40;8;1;37;26;47;785
19;11;38;21;18;2;786
24;32;36;35;40;15;787
2;42;40;1;37;21;788
43;3;6;27;40;1;789
12;42;49;16;28;14;790
41;23;33;34;16;14;791
10;14;34;27;7;42;792
21;1;6;30;45;31;793
17;7;8;20;26;2;794
42;48;40;44;6;19;795
8;48;16;45;41;26;796
30;31;40;23;17;19;797
2;13;6;38;27;24;798
12;25;3;4;8;1;799
49;8;2;37;30;40;800
21;32;34;49;42;45;801
24;43;26;39;17;49;802
40;26;42;46;17;25;803
40;48;15;45;3;36;804
20;33;3;42;25;4;805
31;19;17;18;8;41;806
3;20;36;41;13;27;807
46;32;30;2;14;44;808
14;37;36;35;21;26;809
38;37;22;46;48;4;810
12;4;20;16;43;19;811
39;25;18;2;28;12;812
13;40;35;16;22;21;813
44;9;36;25;7;46;814
6;21;46;11;43;16;815
6;48;34;22;35;49;816
39;43;5;4;20;1;817
44;41;17;2;5;38;818
16;15;17;1;31;27;819
19;16;30;13;45;46;820
41;21;9;49;7;29;821
21;4;36;41;34;37;822
30;5;42;3;9;38;823
48;33;47;49;28;46;824
31;3;28;40;37;12;825
36;17;16;39;14;2;826
17;35;19;28;12;18;827
12;33;25;4;28;49;828
36;47;44;13;26;10;829
31;10;25;1;19;34;830
18;1;25;8;2;24;831
16;48;37;32;7;49;832
25;11;37;34;10;22;833
7;1;22;32;20;37;834
45;6;17;34;1;3;835
41;30;21;13;31;10;836
11;8;5;46;45;32;837
42;48;26;3;22;16;838
43;20;5;28;45;39;839
49;6;31;34;42;44;840
26;24;29;43;8;28;841
30;36;31;20;35;26;842
16;46;1;4;43;48;843
27;32;41;42;47;45;844
39;1;43;2;47;49;845
30;49;7;10;6;40;846
19;12;26;21;9;47;847
29;14;42;3;34;6;848
21;6;38;48;35;22;849
35;34;2;21;41;31;850
1;48;39;49;11;46;851
44;33;25;22;2;9;852
28;14;31;38;30;21;853
48;11;41;38;19;4;854
41;9;40;2;21;23;855
20;36;27;33;23;41;856
19;14;1;21;23;36;857
1;41;9;24;15;23;858
26;34;43;17;32;22;859
23;26;14;19;33;29;860
14;39;24;8;37;4;861
25;42;14;17;47;18;862
6;41;26;49;27;32;863
34;25;8;28;39;13;864
43;17;2;15;21;45;865
19;49;15;18;20;42;866
23;17;33;32;31;40;867
37;11;7;10;48;17;868
16;29;27;5;9;18;869
29;47;19;20;7;3;870
2;27;34;36;14;30;871
29;16;28;33;37;42;872
24;27;3;1;19;4;873
18;1;6;3;28;7;874
35;40;27;13;46;15;875
12;41;42;28;21;33;876
3;2;38;40;19;12;877
26;15;29;49;47;39;878
20;5;30;23;48;41;879
29;10;7;25;16;23;880
6;46;42;23;41;47;881
30;40;8;27;46;49;882
37;20;46;38;23;45;883
43;25;17;42;39;34;884
40;1;4;11;24;5;885
9;31;13;25;44;24;886
49;39;28;43;14;19;887
17;38;30;3;16;4;888
19;5;28;46;45;18;889
18;23;47;16;38;29;890
22;32;9;17;21;33;891
27;3;11;36;42;6;892
45;35;46;27;10;43;893
39;2;21;47;42;29;894
12;25;40;11;2;14;895
28;42;31;7;18;15;896
36;31;49;38;23;40;897
25;23;10;29;26;49;898
19;49;12;30;26;8;899
13;17;15;44;7;46;900
41;19;4;7;29;8;901
3;17;35;33;23;6;902
1;17;42;9;6;20;903
26;48;5;24;16;35;904
13;46;1;37;26;5;905
43;33;48;4;13;3;906
8;32;20;33;49;43;907
19;27;3;31;24;14;908
49;34;39;21;20;42;909
21;8;13;29;26;9;910
39;6;22;34;20;10;911
25;30;1;43;39;26;912
11;40;43;22;28;37;913
48;37;28;19;25;17;914
47;1;42;48;34;3;915
26;31;1;45;12;28;916
31;3;21;46;22;23;917
1;18;23;38;30;8;918
46;25;28;14;11;30;919
25;33;22;43;48;8;920
15;25;18;48;36;10;921
9;7;18;40;32;26;922
9;46;17;6;23;28;923
13;11;35;16;30;48;924
26;37;6;27;38;12;925
43;6;4;24;23;1;926
18;7;26;31;39;13;927
24;21;31;30;46;20;928
41;22;11;28;49;16;929
31;20;18;43;3;49;930
17;10;16;42;30;39;931
39;44;12;35;36;38;932
5;4;31;35;45;1;933
45;25;34;9;8;26;934
46;11;24;39;3;21;935
49;22;47;19;37;39;936
40;20;18;2;9;24;937
35;41;45;29;34;7;938
36;1;48;23;31;24;939
46;19;39;37;6;34;940
8;25;33;31;15;32;941
15;33;9;40;21;20;942
17;27;11;45;34;20;943
19;33;31;17;49;3;944
41;7;39;48;11;2;945
24;40;42;39;1;25;946
20;30;43;33;5;37;947
21;32;3;16;39;34;948
33;32;4;31;39;36;949
31;11;24;25;1;45;950
20;32;21;24;25;2;951
17;38;8;37;31;22;952
22;37;13;15;28;48;953
44;4;41;29;21;15;954
12;26;44;35;7;14;955
1;20;38;12;39;30;956
14;10;17;32;19;31;957
26;46;2;3;33;25;958
8;41;7;3;20;15;959
49;22;17;8;3;2;960
30;40;38;32;20;39;961
31;8;26;7;5;40;962
45;12;18;17;13;32;963
37;4;7;24;20;47;964
21;24;48;29;4;22;965
39;7;49;32;1;47;966
41;42;47;45;30;23;967
27;31;24;26;45;38;968
12;26;3;45;33;6;969
19;6;26;44;45;15;970
41;48;43;37;36;20;971
48;29;11;35;28;10;972
41;16;38;48;6;44;973
36;25;27;21;22;16;974
24;39;20;4;16;3;975
20;8;33;5;30;49;976
13;37;49;30;43;28;977
1;40;36;2;5;21;978
35;2;25;26;22;7;979
2;26;33;41;1;27;980
20;39;29;31;19;27;981
12;45;2;16;29;21;982
10;7;42;19;4;12;983
47;31;30;27;36;38;984
36;45;6;12;21;47;985
31;17;11;44;14;30;986
3;8;22;27;15;23;987
13;32;3;26;37;24;988
17;37;31;39;12;36;989
46;4;6;3;23;16;990
16;24;44;49;35;3;991
22;5;1;28;27;24;992
31;33;21;15;22;13;993
46;31;20;12;48;42;994
45;38;9;35;6;39;995
